treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,SEK,HOK,SEK,2,1,5,5C,120,1.328,6.889753567,6.312581064,590
AB,SEK,HOK,SEK,2,1,5,5D,120,0.891,4.622568093,4.04539559,590
P,SEK,SEK,SEK,2,1,5,5E,120,1.777,9.21919585,8.642023346,590
AB,SEK,SEK,SEK,2,1,5,5F,120,1.648,8.549935149,7.972762646,590
P,HOK,SEK,SEK,2,1,5,5G,120,0.623,3.232166018,2.654993515,590
AB,HOK,SEK,SEK,2,1,5,5H,120,1.71,8.871595331,8.294422827,590
P,HOK,HOK,HOK,2,5,5,6A,120,1.414,7.335927367,6.758754864,590
AB,HOK,HOK,HOK,2,5,5,6B,120,0.508,2.635538262,2.058365759,590
P,SEK,HOK,HOK,2,5,5,6C,120,0.641,3.325551232,2.748378729,590
AB,SEK,HOK,HOK,2,5,5,6D,120,0.608,3.154345006,2.577172503,590
P,SEK,SEK,HOK,2,5,5,6E,120,1.437,7.455252918,6.878080415,590
AB,SEK,SEK,HOK,2,5,5,6F,120,1.318,6.837872892,6.260700389,590
P,HOK,SEK,HOK,2,5,5,6G,120,0.845,4.383916991,3.806744488,590
AB,HOK,SEK,HOK,2,5,5,6H,120,1.542,8,7.422827497,590
P,HOK,HOK,HOK,2,4,5,7A,120,0.89,4.617380026,4.040207523,590
AB,HOK,HOK,HOK,2,4,5,7B,120,0.236,1.224383917,0.647211414,590
P,SEK,HOK,HOK,2,4,5,7C,120,0.924,4.793774319,4.216601816,590
AB,SEK,HOK,HOK,2,4,5,7D,120,0.392,2.033722438,1.456549935,590
P,SEK,SEK,HOK,2,4,5,7E,120,0.733,3.802853437,3.225680934,590
AB,SEK,SEK,HOK,2,4,5,7F,120,1.311,6.80155642,6.224383917,590
P,HOK,SEK,HOK,2,4,5,7G,120,1.265,6.562905318,5.985732815,590
AB,HOK,SEK,HOK,2,4,5,7H,120,1.85,9.597924773,9.02075227,590
P,HOK,HOK,HOK,2,3,5,8A,120,0.406,2.106355383,1.529182879,590
AB,HOK,HOK,HOK,2,3,5,8B,120,0.317,1.64461738,1.067444877,590
P,SEK,HOK,HOK,2,3,5,8C,120,0.426,2.210116732,1.632944228,590
AB,SEK,HOK,HOK,2,3,5,8D,120,1.222,6.339818418,5.762645914,590
P,SEK,SEK,HOK,2,3,5,8E,120,1.646,8.539559014,7.962386511,590
AB,SEK,SEK,HOK,2,3,5,8F,120,0.365,1.893644617,1.316472114,590
P,HOK,SEK,HOK,2,3,5,8G,120,0.854,4.430609598,3.853437095,590
AB,HOK,SEK,HOK,2,3,5,8H,120,0.907,4.705577173,4.128404669,590
P,HOK,HOK,HOK,2,2,5,9A,120,0.471,2.443579767,1.866407263,590
AB,HOK,HOK,HOK,2,2,5,9B,120,0.44,2.282749676,1.705577173,590
P,SEK,HOK,HOK,2,2,5,9C,120,0.503,2.609597925,2.032425422,590
AB,SEK,HOK,HOK,2,2,5,9D,120,0.417,2.163424125,1.586251621,590
P,SEK,SEK,HOK,2,2,5,9E,120,1.665,8.638132296,8.060959792,590
AB,SEK,SEK,HOK,2,2,5,9F,120,0.488,2.531776913,1.95460441,590
P,HOK,SEK,HOK,2,2,5,9G,120,1.34,6.952010376,6.374837873,590
AB,HOK,SEK,HOK,2,2,5,9H,120,0.978,5.073929961,4.496757458,590
P,HOK,HOK,HOK,2,1,5,10A,120,0.934,4.845654994,4.26848249,590
AB,HOK,HOK,HOK,2,1,5,10B,120,1.025,5.317769131,4.740596628,590
P,SEK,HOK,HOK,2,1,5,10C,120,0.983,5.099870298,4.522697795,590
AB,SEK,HOK,HOK,2,1,5,10D,120,1.425,7.392996109,6.815823606,590
P,SEK,SEK,HOK,2,1,5,10E,120,0.832,4.316472114,3.739299611,590
AB,SEK,SEK,HOK,2,1,5,10F,120,1.193,6.189364462,5.612191958,590
P,HOK,SEK,HOK,2,1,5,10G,120,1.154,5.987029831,5.409857328,590
AB,HOK,SEK,HOK,2,1,5,10H,120,1.661,8.617380026,8.040207523,590
P,HOK,HOK,SEK,1,5,5,1A,120,0.556,2.884565499,2.307392996,590
AB,HOK,HOK,SEK,1,5,5,1B,120,0.456,2.365758755,1.788586252,590
P,SEK,HOK,SEK,1,5,5,1C,120,0.311,1.613488975,1.036316472,590
AB,SEK,HOK,SEK,1,5,5,1D,120,1.139,5.90920882,5.332036316,590
P,SEK,SEK,SEK,1,5,5,1E,120,0.371,1.924773022,1.347600519,590
AB,SEK,SEK,SEK,1,5,5,1F,120,0.291,1.509727626,0.932555123,590
