date,hours,time,temp_c,light_lux
07/03/2023 00:00:00,9:45:16,PM,16.17,0.00
07/03/2023 00:00:00,10:45:16,PM,15.87,0.00
07/03/2023 00:00:00,11:45:16,PM,16.08,0.00
07/04/2023 00:00:00,12:45:16,AM,17.29,0.00
07/04/2023 00:00:00,1:45:16,AM,16.99,0.00
07/04/2023 00:00:00,2:45:16,AM,16.86,0.00
07/04/2023 00:00:00,3:45:16,AM,15.31,0.00
07/04/2023 00:00:00,4:45:16,AM,14.63,0.00
07/04/2023 00:00:00,5:45:16,AM,14.20,6.88
07/04/2023 00:00:00,6:45:16,AM,13.94,28.89
07/04/2023 00:00:00,7:45:16,AM,13.90,65.80
07/04/2023 00:00:00,8:45:16,AM,14.11,127.52
07/04/2023 00:00:00,9:45:16,AM,14.54,200.80
07/04/2023 00:00:00,10:45:16,AM,15.10,433.44
07/04/2023 00:00:00,11:45:16,AM,15.87,2414.72
07/04/2023 00:00:00,12:45:16,PM,16.56,653.60
07/04/2023 00:00:00,1:45:16,PM,17.33,720.64
07/04/2023 00:00:00,2:45:16,PM,18.10,220.00
07/04/2023 00:00:00,3:45:16,PM,18.62,151.96
07/04/2023 00:00:00,4:45:16,PM,18.62,131.80
07/04/2023 00:00:00,5:45:16,PM,18.44,99.88
07/04/2023 00:00:00,6:45:16,PM,18.02,58.30
07/04/2023 00:00:00,7:45:16,PM,17.24,35.14
07/04/2023 00:00:00,8:45:16,PM,16.81,13.76
07/04/2023 00:00:00,9:45:16,PM,16.51,0.00
07/04/2023 00:00:00,10:45:16,PM,16.26,0.00
07/04/2023 00:00:00,11:45:16,PM,15.96,0.00
07/05/2023 00:00:00,12:45:16,AM,16.21,0.00
07/05/2023 00:00:00,1:45:16,AM,17.41,0.00
07/05/2023 00:00:00,2:45:16,AM,16.94,0.00
07/05/2023 00:00:00,3:45:16,AM,16.94,0.00
07/05/2023 00:00:00,4:45:16,AM,15.53,0.00
07/05/2023 00:00:00,5:45:16,AM,14.88,4.38
